hostname,systemIP,deviceID,version,vpn
cedge-c8000v,,,17.06.06a.0.6.1697884678,65528
cedge-csr1000v,,,17.03.08a.0.6.1697843966,65528
vedge-20-6-1,,,20.6.6,512
vedge-20-3-1,,,20.3.8,512
vedge-20-3-2,,,20.3.8,512
