hostname,systemIP,deviceID,versionsToDelete
vedge-20-6-1,,,"20.3.8,20.6.6"
vedge-20-3-1,,,20.3.8
vedge-20-3-2,,,
cedge-c8000v,,,17.06.05a.0.6
cedge-csr1000v,,,
